Tools,ERR009309,ERR013138,ERR045708,ERR050158,ERR162843,ERR181410,ERR183377,SRR061640,SRR360549
Bowtie2,2.364914167,6.1253425,9.481851111,4.480201944,6.579199444,5.183426389,4.279699167,2.942086389,3.852528333
Bowtie,3.358317222,8.749843889,12.2513275,6.041616944,7.729104444,5.987389444,4.563028333,1.797393333,4.7187225
BWA,4.048226944,8.374949722,10.33763944,5.155172778,7.040740278,6.394736389,4.827655,3.1716075,6.078191944
ERNE,2.066055556,9.406133611,13.73410306,8.755687222,,11.73073306,8.590034722,7.333812778,7.445680278
gsnap,18.78246472,40.60640861,34.71714778,11.45000889,17.15079306,16.57958917,13.28644333,10.44418972,16.75775028
hisat2,0.582256667,1.459195556,1.739012778,0.778032778,1.107650556,0.944994444,0.820202222,0.604171667,0.915060556
last,10.14017667,27.29270028,27.70917611,23.39387639,34.32294333,17.21766167,14.56781389,13.56396,17.68925056
minialign,0.313215,0.819446944,0.891705556,0.58302,0.65219,0.52759,0.458158611,0.416981667,0.510133056
minimap2,0.955565833,3.408855833,2.273320278,1.625730833,2.278982778,1.980140556,1.624608889,1.086941389,1.648935278
mummer,6.545672778,10.92045056,11.81040389,7.216010556,9.134470278,8.296893889,6.562280833,7.873702778,9.894748611
ngm,2.169563056,5.769040278,7.269270278,3.538780278,4.874790278,4.548210278,3.381739167,3.525120833,3.291939722
rmap,7.669204722,14.72139278,21.38463611,13.96500222,17.18258222,12.65579833,9.048156944,10.18993861,12.59971833
smalt,12.29548083,47.01898111,60.39174444,29.64661722,38.52934472,33.41514111,27.37622917,16.05189556,30.1762325
snap,1.074248056,1.840848056,1.809144722,0.830031111,1.151981389,1.163371389,0.944356111,0.905404444,1.254125833
soapsplice,22.75395861,34.66813583,20.42212417,13.22681306,12.4027025,12.57397278,9.232410278,7.840413056,25.68646278
STAR,0.923998611,1.647141667,1.591509444,0.847372222,1.066349444,0.932475,0.768033611,0.635062222,0.910040556
subread,0.554908056,1.656088333,2.325296667,0.977853611,1.511746389,1.15722,0.979500278,0.911420278,1.163473056
tophat2,14.03616361,33.15735806,33.3040725,33.16886361,18.47132861,18.96414917,33.40543111,33.53954667,33.50791944